group,folder,name,description,authors,settings,patches,before_send,before_edit,flux,render,native,verdict,ported
testcordplugins,apisniper,ApiSniper,"Detects and logs API keys, tokens, and credentials from chat messages",TestcordDevs.x2b,1,False,False,False,True,False,,excluded,
testcordplugins,askMeToMute,AskMeToMute,"Mute yourself when moderators server mute you, and automatically remove your server mute if you have permissio",TestcordDevs.x2b,1,False,False,False,True,False,,portable-hook,
testcordplugins,audioCenter,AudioCenter - Virtual Output,Enable audio center,TestcordDevs.x2b,8,False,False,False,False,False,,portable-logic,
testcordplugins,audioLimiter,AudioLimiter,Maximum allowed volume (%),TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,auditLogChannel,AuditLogChannel,Adds an audit log channel,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,autoBan,AutoBan,User list separated by /,TestcordDevs.dot,6,False,False,False,False,False,,portable-logic,
testcordplugins,autoBanMenu,AutoBanMenu,Enhanced ban list with import/export/sync functionality.,"
{name:""dot"",id:1400610916285812776n},
{",1,False,False,False,False,False,,portable-ui,
testcordplugins,autoChannelReact,AutoChannelReact,Channel reaction rules (JSON format),TestcordDevs.x2b,3,False,False,False,False,False,,portable-logic,
testcordplugins,autoClaim,AutoClaim,allowed guilds separated by /,TestcordDevs.dot,6,True,False,False,True,False,,rewrite,
testcordplugins,autoCorrect,AutoCorrectNC,Where to show the button,"{name:""Nightcord"",id:0n}",10,False,False,False,False,False,,portable-logic,
testcordplugins,autoDeco,AutoDisconnect,Enable AutoDeco,TestcordDevs.x2b,3,False,False,False,True,False,,excluded,
testcordplugins,autoDeleteDms,AutoDeleteDMs,Delete messages after (value),TestcordDevs.x2b,5,False,False,False,False,False,,portable-logic,
testcordplugins,autoDeleter,AutoDeleter,Enable automatic message deletion,"
{
name:""Bash"",
id:1327483363518582784n,",40,False,False,False,False,False,,portable-logic,
testcordplugins,autoMute,AutoMute,Whether the plugin will automatically mute you after being silent for too long or not,TestcordDevs.x2b,5,False,False,False,True,False,,portable-hook,
testcordplugins,autoRedeem,AutoRedeem,Blazing fast mode: parallel redemption with no delays. Forces prevalidation on. May increase captcha risk.,TestcordDevs.x2b,9,False,False,False,True,False,native.ts,native-feature,
testcordplugins,autoReply,AutoReply,Where to show the button,"{name:""User"",id:0n}",14,False,False,False,True,False,,portable-hook,
testcordplugins,autoResponder,AutoResponder,Where to show the button,"{name:""Nightcord"",id:0n}",20,False,False,False,True,False,,portable-hook,
testcordplugins,autoTranslateNightcord,AutoTranslateTC,Automatic translation for Testcord.,"{name:""Trigger"",id:0n}",1,False,False,False,False,False,,portable-logic,
testcordplugins,autoUnmute,AutoUnmute,Automatically unmutes and undeafens when server mute/deafen occurs if you have permissions (no notifications),"
{
name:""Bash"",
id:1327483363518582784n,",1,False,False,False,True,False,,portable-hook,
testcordplugins,autoVaporwave,AutoVaporwave,Turn every message you send into ｆｕｌｌｗｉｄｔｈ text automatically.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,autonickname,AutoNickname,Show a toast when AutoNickname restores a nickname.,TestcordDevs.x2b,3,False,False,False,True,False,,portable-hook,
testcordplugins,avatarGrabber,AvatarGrabber,/avatar grabs the full-resolution avatar of any user (or yourself).,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-ui,
testcordplugins,betterBios,BetterBios,Improves Discord's bio redesign,TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,betterFormattingRedux,BetterFormattingRedux,Where to show the button,"TestcordDevs.x2b,EquicordDevs.omaw",4,False,False,False,False,False,,portable-logic,
testcordplugins,betterGifLoad,BetterGifLoad,GIF quality,"TestcordDevs.Leon135,EquicordDevs.nexpid",1,True,False,False,False,False,,rewrite,
testcordplugins,betterJoinedDate,BetterJoinedDate,Add a tooltip to the joined date showing the exact time and how many days ago it was,TestcordDevs.x2b,1,False,False,False,False,True,,portable-ui,
testcordplugins,betterMicrophone.desktop,BetterMicrophone,Hide the settings icon,"{
name:""philhk"",
id:0n
}",2,True,False,False,False,False,,rewrite,
testcordplugins,betterScreenshare.desktop,BetterScreenshare,This plugin allows you to further customize your screen sharing.,"{name:""philhk"",id:0n}",1,True,False,False,False,False,,rewrite,
testcordplugins,betterforwardmeta,BetterForwardMeta,Access server profile under forwarded messages (if available) and always show time,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,betterplusreacts,BetterPlusReacts,The amount of plus before :emoji: is the message to add it to,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,bigFileUpload,BigFileUpload,Select the file uploader service,Devs.ScattrdBlade,28,True,False,False,False,False,native.ts,native-feature,
testcordplugins,boldText,BoldText,/bold turns your message into 𝐮𝐧𝐢𝐜𝐨𝐝𝐞 bold (works where markdown can't).,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-ui,
testcordplugins,bulkFriendRemove,BulkFriendRemove,Delete multiple friends at once.,"{name:""Nightcord"",id:0n}",1,False,False,False,False,False,,portable-logic,
testcordplugins,bypassAccounts,PBKDF2,Enable Alt+G hotkey to quickly open account switcher,TestcordDevs.dot,1,False,False,False,False,False,,excluded,
testcordplugins,bypassBlockedOrIgnored,BypassBlockedOrIgnored,Bypass the blocked or ignored user modal if is present in voice channels.,"{
name:""nicola02nb"",
id:2579000313511936",0,True,False,False,False,False,,rewrite,
testcordplugins,bypassUpload,BigFileUpload,Select the file uploader service,TestcordDevs.x2b,5,False,False,False,False,False,native.ts,native-feature,
testcordplugins,cacheResetButton,CacheResetButton,"Performance boost button: clears caches and applies runtime optimizations (CSS containment, passive listeners,",TestcordDevs.x2b,1,False,False,False,False,False,,portable-logic,
testcordplugins,calendar,Calendar,Start week on Monday.,"{name:""x2b"",id:996137713432530976n}",12,False,False,False,False,False,,portable-ui,
testcordplugins,callrecorder,RecordUrMic,Auto-start recording on VC join (captures your mic),TestcordDevs.x2b,4,False,False,False,True,False,native.ts,native-feature,
testcordplugins,cancelFriendRequest,CancelFriendRequestNC,Cancels a pending friend request by clicking the button again.,"{name:""Nightcord"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,channelGallery,ChannelGallery,Include GIFs in the gallery,"EquicordDevs.Benjii,TestcordDevs.x2b",6,False,False,False,False,False,native.ts,native-feature,
testcordplugins,channelWallpaper,ChannelWallpaper,Wallpapers JSON — do not modify manually (managed by plugin),"Devs.rushii,Devs.Nickyux",9,False,False,False,True,False,,portable-hook,
testcordplugins,chatButtonsPlus,ChatButtonsPlus,Where to show the button,TestcordDevs.x2b,3,False,False,False,False,False,,portable-logic,
testcordplugins,chatGPT,ChatGPT,Your OpenAI API key (obtained from https://platform.openai.com/api-keys),TestcordDevs.x2b,6,False,False,False,False,False,,portable-ui,
testcordplugins,chatgptwriting,ChatGPTWriting,Where to show the button,TestcordDevs.x2b,6,False,False,False,False,False,,portable-logic,
testcordplugins,chatsScrapper,ChatsScrapper,Where to show the button,TestcordDevs.x2b,3,False,False,False,False,False,,portable-logic,
testcordplugins,chromeTabs,ChromeTabs,Browser-style channel tabs styled after Google Chrome,TestcordDevs.SirPhantom89,2,True,False,False,True,False,,rewrite,
testcordplugins,clapText,ClapText,Adds /clap to 👏 put 👏 claps 👏 between 👏 your 👏 words.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-ui,
testcordplugins,clickSparkles,ClickSparkles,Sprinkles little neon sparkles wherever you click.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,clientSideBadges,ClientSideBadges,Adds client-side badges to your profile. Other users can't see them!,"
Devs.nin0dev,
{name:""KrystalSkullOffici",0,False,False,False,False,False,,portable-logic,
testcordplugins,closeAllDms,CloseAllDms,Closes all private DMs with one click with 50ms rate limit (preserves groups),TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,compactCompose,CompactCompose,Slims down the message box and hides the upload/gift clutter until you focus it.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,composeMode,ComposeMode,Where to show the button,TestcordDevs.x2b,6,False,False,False,False,False,,portable-logic,
testcordplugins,contextMenuSelectFix,ContextMenuSelectFix,"Releasing right click when hovering over a context menu entry selects it, bringing the behaviour in line with ",TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,copyStatusUrls,CopyStatusUrls,Copy the users status url when you right-click it,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,crashHandlerEnhanched,CrashHandlerEnhanced,Attempt to prevent Discord crashes and auto-recover,Devs.Nuckyz,35,True,False,False,False,False,,rewrite,
testcordplugins,createTheme,CreateTheme,Create Theme UI — registered via settings.tsx,Devs.Ven,0,False,False,False,False,False,,portable-logic,
testcordplugins,crtEffect,CRTEffect,Overlays retro CRT scanlines on the client for that old-monitor vaporwave look.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,ctrlEnterSave,CtrlEnterSave,the keybind that you want to save on,TestcordDevs.x2b,1,True,False,False,False,False,,rewrite,
testcordplugins,cursorMacOS,CursorMacOS,Replaces Windows SYSTEM cursors with authentic macOS cursors (.cur/.ani). Restores default cursors when disabl,"{name:""Nightcord"",id:0n}",0,False,False,False,False,False,native.ts,native-feature,
testcordplugins,customFolderIcons,CustomFolderIcons,Customize folder icons with any png,TestcordDevs.x2b,1,True,False,False,False,False,,rewrite,
testcordplugins,customProfile,CustomProfile,"Visually customize your Discord profile (username, PFP, banner, badges, bio...) — persistent, only visible to ","{name:""Nightcord"",id:0n}",1,True,False,False,False,False,,rewrite,
testcordplugins,customSounds,CustomSounds,Customize Discord's sounds.,"Devs.ScattrdBlade,Devs.TheKodeToad",0,True,False,False,False,False,,rewrite,
testcordplugins,customStream,Default,Use custom preview instead of screen capture,"
{
name:""TopQ"",
id:523800559791374356n
}",7,True,False,False,False,False,,rewrite,
testcordplugins,customreactionbuttons,CustomReactionButtons,Custom reaction buttons (restart needed after adding/removing),TestcordDevs.x2b,1,False,False,False,False,False,,portable-logic,
testcordplugins,deepsearch,DeepSearch,Maximum number of search results to return,TestcordDevs.x2b,4,False,False,False,False,False,,portable-logic,
testcordplugins,defaultStatusForever,DefaultStatusForever,Make statuses default to last forever,TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,define,Define,/define looks up a word's dictionary definition (sent only to you).,"{name:""Sharp"",id:0n}",1,False,False,False,False,False,,portable-ui,
testcordplugins,detectBlock,DetectBlock,Detects users who have blocked you and warns when they appear in voice channels or group DMs.,"
{name:""justjxke"",id:852558183087472640n",1,False,False,False,True,True,,portable-hook,
testcordplugins,disconnect,DisconnectUser,Target user ID to auto-disconnect,TestcordDevs.x2b,3,True,False,False,True,False,,rewrite,
testcordplugins,dmAway,DMAway,Auto-reply message sent to DMs while you're away,"{name:""Sharp"",id:0n}",3,False,False,False,False,False,,portable-logic,
testcordplugins,dmReadReceipt,DmReadReceipt,Shows a Seen indicator on your messages in DMs when the other person has read them.,"{name:""Sharp"",id:0n}",0,False,False,False,False,True,,portable-ui,
testcordplugins,dontLimitMe,DontLimitMe,removes the limit on message sending. spam away! (Bannable),"{name:""Death"",id:1003477997728313405n}",0,True,False,False,False,False,,rewrite,
testcordplugins,doubleEmoji,DoubleEmoji,Keeps the emoji picker open on click and highlights selected emojis with a blue border.,"{name:""Nightcord"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,editUsers,EditUsers,Edit users,TestcordDevs.x2b,1,True,False,False,False,False,,rewrite,
testcordplugins,embedBuilder,EmbedBuilder,"Default embed color (hex format, e.g. #5865F2).","{name:""Mifu"",id:1309909311618814005n},Te",2,False,False,False,False,False,,portable-ui,
testcordplugins,embeddedURLs,EmbeddedURLs,,"{name:""Dadian1"",id:131825869302792192n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,emojiOnMouseUp,EmojiOnMouseUp,Sends the emoji you are hovering when you take your mouse button up.,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,encryptedMessage,EncryptedMessage,Where to show the button,"{name:""Nightcord"",id:0n},TestcordDevs.x2",2,False,False,False,False,True,,portable-ui,
testcordplugins,eval,Eval,Adds a / command to evaluate JavaScript on your client,Devs.nin0dev,0,False,False,False,False,False,native.ts,native-feature,
testcordplugins,eventLogs,EventLogs,Maximum logs to keep. Set to 0 for infinite.,"{name:""Nightcord"",id:0n},TestcordDevs.x2",3,False,False,False,False,False,,portable-logic,
testcordplugins,exportDM,ExportDM,"Exports your DMs with messages, images, videos, audio, links, embeds, stickers, reactions in TXT/JSON/CSV/MD/H","{name:""Nightcord"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,exporter,Exporter,Default export view when opening the Exporter modal.,TestcordDevs.sirphantom89,15,False,False,False,False,False,,portable-logic,
testcordplugins,fakeAccount,FakeSwitcher,Right-click → add a user to the switcher. Click in the switcher → your profile takes their appearance locally.,"{name:""Nightcord"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,fakeConnections,FakeConnections,Text color for connection names on your profile,"{name:""lastclipped"",id:0n}",2,False,False,False,False,True,,excluded,
testcordplugins,fakeDM,FakeDM,Where to show the FakeDM button,"{name:""Testcord"",id:0n}",2,False,False,False,False,False,native.ts,excluded,
testcordplugins,fakeFriends,FakeFriends,Locally simulates Discord friends and requests. Persistent between reloads.,"{name:""Nightcord"",id:0n}",0,False,False,False,False,False,,excluded,
